target_gene,which_CS,carbon_source_uptake,growth_rate,acetate_secretion,pts,zwf,gnd,pgi,"edd, eda","pfk, fba",tktA,tktB,tal,"gap, pgk",eno,pyk,pdh,"glta, can",icd,suc,"sdh, fum",mdh,mae,pck,pcc,"pta, acka","acea, aceb"
NagC,glu,7.23,0.55,4.71,7.13,1.76,1.46,5.34,0.30,6.00,0.47,0.23,0.47,12.46,11.62,9.33,7.75,1.61,1.61,0.78,0.78,0.77,0.02,0.49,2.28,4.80,0.00
NarL,glu,6.98,0.55,5.24,7.28,1.79,1.41,5.47,0.38,6.10,0.45,0.22,0.45,12.72,11.89,9.13,8.17,1.67,1.67,0.85,0.85,0.32,0.53,0.10,2.37,5.19,0.00
NarP,glu,7.81,0.54,4.42,7.36,2.11,1.25,5.23,0.86,5.75,0.40,0.16,0.40,12.44,11.60,8.87,8.26,02.01,02.01,1.16,1.16,0.73,0.44,0.35,2.57,4.92,0.00
NsrR,glu,7.41,0.50,3.45,6.99,1.77,1.53,5.20,0.23,5.94,0.50,0.28,0.50,12.32,11.54,8.95,7.83,2.21,2.21,1.41,1.41,0.97,0.45,0.37,2.49,4.38,0.00
NtrC,glu,7.75,0.57,04.01,7.34,02.02,1.51,5.29,0.51,5.97,0.48,0.24,0.48,12.61,11.74,8.88,7.91,2.22,2.22,1.35,1.35,0.86,0.49,0.26,2.59,4.32,0.00
OgrK,glu,7.42,0.49,4.40,6.85,2.35,1.28,4.48,01.07,05.04,0.41,0.19,0.41,11.27,10.49,7.91,7.68,1.76,1.76,0.98,0.98,0.51,0.47,0.22,2.34,4.69,0.00
OmpR,glu,08.09,0.55,3.69,7.41,1.97,1.39,5.41,0.58,5.99,0.45,0.19,0.45,12.68,11.75,8.75,7.70,2.27,2.27,1.34,1.34,0.86,0.48,0.23,2.67,3.96,0.00
OxyR,glu,7.54,0.53,5.62,7.41,2.40,1.86,4.98,0.55,5.92,0.61,0.37,0.61,12.68,11.88,9.70,8.43,02.01,02.01,1.21,1.21,1.21,0.00,0.32,02.01,5.16,0.00
PdhR,glu,7.93,0.52,3.86,8.16,2.94,1.59,5.19,1.35,5.91,0.51,0.26,0.51,13.36,12.46,9.24,9.37,03.02,03.02,2.12,2.12,1.33,0.79,0.16,2.85,4.94,0.00
PerR,glu,07.03,0.50,05.09,7.13,2.22,1.44,4.89,0.78,5.57,0.46,0.25,0.46,12.10,11.33,8.87,8.31,1.79,1.79,01.02,01.02,0.63,0.39,0.33,2.34,5.32,0.00
PhoB,glu,6.38,0.50,04.06,6.36,1.96,1.37,4.38,0.60,05.01,0.44,0.22,0.44,10.77,10.01,7.93,6.82,1.56,1.56,0.80,0.80,0.78,0.02,0.31,1.94,04.06,0.00
PrpR,glu,7.65,0.52,4.20,7.63,02.09,1.60,5.51,0.49,6.26,0.52,0.28,0.52,13.22,12.37,09.04,8.63,2.30,2.30,1.46,1.46,0.43,01.03,0.26,03.08,4.99,0.00
PspC,glu,7.31,0.51,4.23,6.96,2.16,1.32,4.77,0.85,5.35,0.42,0.20,0.42,11.68,10.89,8.15,7.74,1.97,1.97,1.18,1.18,0.61,0.56,0.31,2.57,4.51,0.00
